"text_unit_ids","entity_ids","id"
"af02da68051b407a774989332a162982","['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '077d2820ae1845bcbb1803379a3d1eae'
 '3671ea0dd4e84c1a9b02c5ab2c8f4bac']","af02da68051b407a774989332a162982"
"54075507af865d4dc5931205fab5765f",['4119fd06010c494caa07f439b333f4c5' '3d0dcbc8971b415ea18065edc4d8c8ef'],"54075507af865d4dc5931205fab5765f"
"074d8bc13c7cff5ee897c3eca3e30693","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 'de988724cfdf45cebfba3b13c43ceede']","074d8bc13c7cff5ee897c3eca3e30693"
"09038f7353e18c002372101e4a4141be","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 '3b040bcc19f14e04880ae52881a89c1c']","09038f7353e18c002372101e4a4141be"
"0eb3593149c31596ddef2c535e782a58","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 '254770028d7a4fa9877da4ba0ad5ad21']","0eb3593149c31596ddef2c535e782a58"
"39e32d155411e5a89ff5707ee1b03c9c","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 '3d6b216c14354332b1bf1927ba168986' '1c109cfdc370463eb6d537e5b7b382fb']","39e32d155411e5a89ff5707ee1b03c9c"
"3c8b240edf207b97a5df6c92e4afd43a","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 '273daeec8cad41e6b3e450447db58ee7' 'e69dc259edb944ea9ea41264b9fcfe59'
 'e2f5735c7d714423a2c4f61ca2644626' 'deece7e64b2a4628850d4bb6e394a9c3']","3c8b240edf207b97a5df6c92e4afd43a"
"4c9b33d2d1fe99bd63cd8f99c679281d","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 'f7e11b0e297a44a896dc67928368f600' '273daeec8cad41e6b3e450447db58ee7']","4c9b33d2d1fe99bd63cd8f99c679281d"
"520f82c4733c1da4b602815fc08dc110",['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'],"520f82c4733c1da4b602815fc08dc110"
"5535b05bf384b9ecfba910725e6518e4","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 '9646481f66ce4fd2b08c2eddda42fc82']","5535b05bf384b9ecfba910725e6518e4"
"6134ff8fdc6cf9ea36d456819fb81850","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 'e657b5121ff8456b9a610cfaead8e0cb']","6134ff8fdc6cf9ea36d456819fb81850"
"8b2c4dc1f5b8fa2f52a6b505f77bb4ff","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 '254770028d7a4fa9877da4ba0ad5ad21']","8b2c4dc1f5b8fa2f52a6b505f77bb4ff"
"a05f1c3b26d22d47e76e16edefe118fc","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 'd91a266f766b4737a06b0fda588ba40b' 'bc0e3f075a4c4ebbb7c7b152b65a5625']","a05f1c3b26d22d47e76e16edefe118fc"
"bfe652d20977453f943d863e7fac1edc","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 'f7e11b0e297a44a896dc67928368f600' '273daeec8cad41e6b3e450447db58ee7'
 '3d6b216c14354332b1bf1927ba168986']","bfe652d20977453f943d863e7fac1edc"
"c642e51ecac0ee0338a50b22719b5345","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 '27f9fbe6ad8c4a8b9acee0d3596ed57c' '4a67211867e5464ba45126315a122a8a'
 '04dbbb2283b845baaeac0eaf0c34c9da' '1943f245ee4243bdbfbd2fd619ae824a']","c642e51ecac0ee0338a50b22719b5345"
"c80544c339c19ece8e5afc2200e98300","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 'e657b5121ff8456b9a610cfaead8e0cb']","c80544c339c19ece8e5afc2200e98300"
"ce810a02fd6124b31ca2183c6b7bd4b6","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 '9646481f66ce4fd2b08c2eddda42fc82' 'd91a266f766b4737a06b0fda588ba40b']","ce810a02fd6124b31ca2183c6b7bd4b6"
"cecfda346bdac8e9232a912d20fd8b94","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 'f7e11b0e297a44a896dc67928368f600' '1fd3fa8bb5a2408790042ab9573779ee']","cecfda346bdac8e9232a912d20fd8b94"
"d3be9092a42bc9d927636522ec06973f","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 'c9632a35146940c2a86167c7726d35e9' '9646481f66ce4fd2b08c2eddda42fc82']","d3be9092a42bc9d927636522ec06973f"
"e7a17066064b2a2003f09ecc3c269f9e","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 '27f9fbe6ad8c4a8b9acee0d3596ed57c' 'e1fd0e904a53409aada44442f23a51cb']","e7a17066064b2a2003f09ecc3c269f9e"
"e95a03d09a97893949ed1a0052424641",['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'],"e95a03d09a97893949ed1a0052424641"
"ec920851838d4a61251a9f4a23de71a6","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 'f7e11b0e297a44a896dc67928368f600' 'bf4e255cdac94ccc83a56435a5e4b075']","ec920851838d4a61251a9f4a23de71a6"
"f74af18f0023e1c5abc424734f082003","['19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 'f7e11b0e297a44a896dc67928368f600' '96aad7cb4b7d40e9b7e13b94a67af206']","f74af18f0023e1c5abc424734f082003"
"9d973bac3fd7131fba04793ac332348e",['68105770b523412388424d984e711917'],"9d973bac3fd7131fba04793ac332348e"
